,target,plat,recette
0,Recettes apéritif dînatoire,Cake salé rapide et facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
1,Recettes apéritif dînatoire,Houmous (purée de pois chiches),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
2,Recettes apéritif dînatoire,Guacamole très facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
3,Recettes apéritif dînatoire,Caviar d'aubergines,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
4,Recettes apéritif dînatoire,Cake salé au jambon et aux olives,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
5,Recettes apéritif dînatoire,Verrines de betterave et fromage frais ,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
6,Recettes apéritif dînatoire,Rillettes de thon au St Moret,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
7,Recettes apéritif dînatoire,Cake aux olives,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
8,Recettes apéritif dînatoire,Tzatziki (Grèce),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
9,Recettes apéritif dînatoire,Cake aux lardons,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
10,Recettes apéritif dînatoire,Cake au chorizo,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
11,Recettes apéritif dînatoire,Rillettes de porc,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
12,Recettes apéritif dînatoire,Verrine avocat et saumon fumé,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
