,target,vin,type,region
0,Fromages,Vacqueyras,Rouge,Rhône
0,Fromages,Côtes du Rhône,Rouge,Rhône
0,Fromages,Côtes du Rhône Villages,Rouge,Rhône
0,Fromages,Montagne Saint-Emilion,Rouge,Bordeaux
0,Fromages,Côtes du Luberon,Rouge,Rhône
0,Fromages,Cabernet-Sauvignon de Californie,Rouge,Californie
0,Fromages,Pouilly Fuissé,Blanc,Bourgogne
0,Fromages,Bandol,Rosé,Provence
0,Fromages,Cadillac,Blanc,Bordeaux
0,Fromages,Jurançon,Blanc,SudOuest
0,Fromages,Loupiac ,Blanc,Bordeaux
0,Fromages,Sainte-Croix-du-Mont,Blanc,Bordeaux
0,Fromages,Saumur Champigny,Rouge,PaysdeLoire
0,Fromages,Vacqueyras,Rouge,Rhône
0,Fromages,Arbois,Rouge,Jura/Savoie
0,Fromages,Côtes du Jura,Blanc,Jura
0,Fromages,Vin jaune,Blanc,Jura
0,Fromages,Anjou,Rouge,PaysdeLoire
0,Fromages,Arbois,Blanc,Jura/Savoie
0,Fromages,Barsac,Blanc,Bordeaux
0,Fromages,Bonnes-mares,Rouge,Bourgogne
0,Fromages,Chablis grand cru,Blanc,Bourgogne
0,Fromages,Gaillac,Blanc,SudOuest
0,Fromages,Haut-Médoc,Rouge,Bordeaux
0,Fromages,Juliénas,Rouge,Beaujolais
0,Fromages,Lalande de Pomerol,Rouge,Bordeaux
0,Fromages,Mâcon,Rosé,Bourgogne
0,Fromages,Mâcon supérieur,Rosé,Bourgogne
0,Fromages,Médoc,Rouge,Bordeaux
0,Fromages,Musigny,Rouge,Bourgogne
0,Fromages,Riesling,Blanc,Alsace
0,Fromages,Saint-Joseph,Rouge,Rhône
0,Fromages,Saint-Romain,Rouge,Bourgogne
0,Fromages,Tokay Pinot gris,Blanc,Alsace
0,Fromages,Touraine,Blanc,PaysdeLoire
0,Fromages,Vosne-romanée,Rouge,Bourgogne
0,Fromages,Alsace-grand cru Riesling,Blanc,Alsace
0,Fromages,Côtes du Roussillon villages,Rosé,Languedoc/Roussillon
0,Fromages,Côtes du Roussillon,Rosé,Languedoc/Roussillon
0,Fromages,Mâcon supérieur,Blanc,Bourgogne
1,Poulet,Vacqueyras,Rouge,Rhône
1,Poulet,Côtes du Rhône,Rouge,Rhône
1,Poulet,Côtes du Rhône Villages,Rouge,Rhône
1,Poulet,Montagne Saint-Emilion,Rouge,Bordeaux
1,Poulet,Côtes du Luberon,Rouge,Rhône
1,Poulet,Cabernet-Sauvignon de Californie,Rouge,Californie
1,Poulet,Pouilly Fuissé,Blanc,Bourgogne
1,Poulet,Bandol,Rosé,Provence
1,Poulet,Cadillac,Blanc,Bordeaux
1,Poulet,Jurançon,Blanc,SudOuest
1,Poulet,Loupiac ,Blanc,Bordeaux
1,Poulet,Sainte-Croix-du-Mont,Blanc,Bordeaux
1,Poulet,Saumur Champigny,Rouge,PaysdeLoire
1,Poulet,Vacqueyras,Rouge,Rhône
1,Poulet,Arbois,Rouge,Jura/Savoie
1,Poulet,Côtes du Jura,Blanc,Jura
1,Poulet,Vin jaune,Blanc,Jura
1,Poulet,Anjou,Rouge,PaysdeLoire
1,Poulet,Arbois,Blanc,Jura/Savoie
1,Poulet,Barsac,Blanc,Bordeaux
1,Poulet,Bonnes-mares,Rouge,Bourgogne
1,Poulet,Chablis grand cru,Blanc,Bourgogne
1,Poulet,Gaillac,Blanc,SudOuest
1,Poulet,Haut-Médoc,Rouge,Bordeaux
1,Poulet,Juliénas,Rouge,Beaujolais
1,Poulet,Lalande de Pomerol,Rouge,Bordeaux
1,Poulet,Mâcon,Rosé,Bourgogne
1,Poulet,Mâcon supérieur,Rosé,Bourgogne
1,Poulet,Médoc,Rouge,Bordeaux
1,Poulet,Musigny,Rouge,Bourgogne
1,Poulet,Riesling,Blanc,Alsace
1,Poulet,Saint-Joseph,Rouge,Rhône
1,Poulet,Saint-Romain,Rouge,Bourgogne
1,Poulet,Tokay Pinot gris,Blanc,Alsace
1,Poulet,Touraine,Blanc,PaysdeLoire
1,Poulet,Vosne-romanée,Rouge,Bourgogne
1,Poulet,Alsace-grand cru Riesling,Blanc,Alsace
1,Poulet,Côtes du Roussillon villages,Rosé,Languedoc/Roussillon
1,Poulet,Côtes du Roussillon,Rosé,Languedoc/Roussillon
1,Poulet,Mâcon supérieur,Blanc,Bourgogne
2,Boeuf,Vacqueyras,Rouge,Rhône
2,Boeuf,Côtes du Rhône,Rouge,Rhône
2,Boeuf,Côtes du Rhône Villages,Rouge,Rhône
2,Boeuf,Montagne Saint-Emilion,Rouge,Bordeaux
2,Boeuf,Côtes du Luberon,Rouge,Rhône
2,Boeuf,Cabernet-Sauvignon de Californie,Rouge,Californie
2,Boeuf,Pouilly Fuissé,Blanc,Bourgogne
2,Boeuf,Bandol,Rosé,Provence
2,Boeuf,Cadillac,Blanc,Bordeaux
2,Boeuf,Jurançon,Blanc,SudOuest
2,Boeuf,Loupiac ,Blanc,Bordeaux
2,Boeuf,Sainte-Croix-du-Mont,Blanc,Bordeaux
2,Boeuf,Saumur Champigny,Rouge,PaysdeLoire
2,Boeuf,Vacqueyras,Rouge,Rhône
2,Boeuf,Arbois,Rouge,Jura/Savoie
2,Boeuf,Côtes du Jura,Blanc,Jura
2,Boeuf,Vin jaune,Blanc,Jura
2,Boeuf,Anjou,Rouge,PaysdeLoire
2,Boeuf,Arbois,Blanc,Jura/Savoie
2,Boeuf,Barsac,Blanc,Bordeaux
2,Boeuf,Bonnes-mares,Rouge,Bourgogne
2,Boeuf,Chablis grand cru,Blanc,Bourgogne
2,Boeuf,Gaillac,Blanc,SudOuest
2,Boeuf,Haut-Médoc,Rouge,Bordeaux
2,Boeuf,Juliénas,Rouge,Beaujolais
2,Boeuf,Lalande de Pomerol,Rouge,Bordeaux
2,Boeuf,Mâcon,Rosé,Bourgogne
2,Boeuf,Mâcon supérieur,Rosé,Bourgogne
2,Boeuf,Médoc,Rouge,Bordeaux
