target;vin;type;region
Foie gras;Coteaux de l’Aubance (5 à 15 ans) ;blanc;Loire
Foie gras;Coteaux du Layon (10 à 40 ans);blanc;Loire
Foie gras;Vouvray Tendre (2 à 7 ans);blanc;Loire
Foie gras;Riesling Vendanges Tardives (5 à 15 ans);blanc;Alsace
Foie gras;Gewurztraminer Vendanges Tardives  (5 à 15 ans);blanc;Alsace
Foie gras;Grand Cru d’Alsace (2 à 10 ans);blanc;Alsace
Foie gras;Sauternes à maturité (10 à 50 ans);blanc;Bordeaux
Foie gras;Jurançon moelleux (5 à 15 ans);blanc;sud-ouest
Foie gras; Alsace vendanges tardives;blanc;Alsace
Foie gras; Alsace-grand cru Pinot gris;blanc;Alsace
Foie gras; Bandol;blanc;Provence
Foie gras; Banyuls;blanc;Languedoc/Roussillon
Foie gras; Banyuls;rosé;Languedoc/Roussillon
Foie gras; Banyuls;rouge;Languedoc/Roussillon
Foie gras; Banyuls grand cru;rouge;Languedoc/Roussillon
Foie gras; Barsac;blanc;Bordeaux
Foie gras; Beaumes de Venise;rouge;Rhône
Foie gras; Bergerac et côtes liquoreux;blanc;Sud Ouest
Foie gras; Bergerac et côtes moelleux;blanc;Sud Ouest
Foie gras; Bonnezeaux;blanc;Pays de Loire
Foie gras; Cadillac;blanc;Bordeaux
Foie gras; Cahors;rouge;Sud Ouest
Foie gras; Cérons;blanc;Bordeaux
Foie gras; Chablis grand cru;blanc;Bourgogne
Foie gras; Chablis premier cru;blanc;Bourgogne
Foie gras; Champagne;champagne;Champagne
Foie gras; Champagne Demi-Sec;champagne;Champagne
Foie gras; Chassagne-Montrachet;blanc;Bourgogne
Foie gras; Château-Grillet;blanc;Rhône
Foie gras; Châteauneuf du Pape;blanc;Rhône
Foie gras; Chignin-Bergeron;blanc;Savoie
Foie gras; Condrieu;blanc;Rhône
Foie gras; Corton;blanc;Bourgogne
Foie gras; Corton-Charlemagne;blanc;Bourgogne
Foie gras; Coteaux de l'aubance;blanc;Pays de Loire
Foie gras; Coteaux du Layon;blanc;Pays de Loire
Foie gras; Côtes de Saint-Mont;rouge;Sud Ouest
Foie gras; Côtes du Rhône septentrionales;blanc;Rhône
Foie gras; Frontignan;blanc;Languedoc/Roussillon
Foie gras;Saint Joseph;blanc;Rhône
Foie gras;Palette;blanc;Provence
